Districts,,Neighbourhood,,Latitude,,Longititude
,,,,,,
North West Delhi,,Adarsh Nagar,,28.7142,,77.16671
North West Delhi,,Ashok Vihar,,28.69206,,77.17755
North West Delhi,,Azadpur,,28.7053,,77.1783
North West Delhi,,Bawana,,28.80221,,77.040199
North West Delhi,,Begum Pur,,28.536978,,77.209941
North West Delhi,,Dhaka,,28.708698,,77.205749
North West Delhi,,Jahangirpuri,,28.725987,,77.162683
North West Delhi,,Karala,,28.73514,,77.032511
North West Delhi,,Keshav Puram,,28.688914,,77.161652
North West Delhi,,Kingsway Camp,,28.698684,,77.204675
North West Delhi,,Kohat Enclave,,28.698014,,77.140523
North West Delhi,,Model Town,,28.702739,,77.194006
North West Delhi,,Narela,,28.85708,,77.123466
North West Delhi,,Pitam Pura,,28.703245,,77.132225
North West Delhi,,Rani Bagh,,28.685982,,77.132524
North West Delhi,,Rithala,,28.720785,,77.107155
North West Delhi,,Rohini Sub City,,28.73732,,77.09098
North West Delhi,,Shalimar Bagh,,28.71302,,77.158752
North Delhi,,Shakti Nagar,,28.678699,,77.195168
North Delhi,,Bara Hindu Rao,,28.661055,,77.20672
North Delhi,,Chandni Chowk,,28.659731,,77.234459
North Delhi,,Chawri Bazaar,,28.649927,,77.229788
North Delhi,,Civil Lines,,28.676857,,77.225057
North Delhi,,Dariba Kalan,,28.654602,,77.233379
North Delhi,,Ghantewala,,28.661055,,77.20672
North Delhi,,Gulabi Bagh,,28.675172,,77.189837
North Delhi,,Kamla Nagar,,28.677891,,77.205338
North Delhi,,Kashmiri Gate,,28.665567,,77.228819
North Delhi,,Kotwali,,28.658598,,77.231084
North Delhi,,Lahori Gate,,28.656841,,77.218534
North Delhi,,Nehru Vihar,,28.710745,,77.221174
North Delhi,,Paharganj,,28.641499,,77.214061
North Delhi,,Pratap Nagar,,28.666687,,77.198887
North Delhi,,Pul Bangash,,28.666376,,77.207421
North Delhi,,Roshanara Bagh,,28.673718,,77.19932
North Delhi,,Sadar Bazaar,,28.577151,,77.111153
North Delhi,,Sangam Vihar,,28.497702,,77.239174
North Delhi,,Sant Nagar,,28.646418,,77.091188
North Delhi,,Sarai Kale Khan,,28.586626,,77.256228
North Delhi,,Sarai Rohilla,,28.667873,,77.190267
North Delhi,,Shakti Nagar,,28.678699,,77.195168
North Delhi,,Shastri Nagar,,28.674831,,77.180337
North Delhi,,Tees Hazari,,28.66667,,77.21667
North Delhi,,Timarpur,,28.700714,,77.217323
North Delhi,,Wazirabad,,28.433762,,77.087757
