Districts,Neighbourhood,Latitude,Longitude
North West Delhi,Adarsh Nagar,28.7142,77.16671
North West Delhi,Ashok Vihar,28.692059999999998,77.17755
North West Delhi,Azadpur,28.7053,77.1783
North West Delhi,Bawana,28.80221,77.040199
North West Delhi,Begum Pur,28.536978,77.209941
North West Delhi,Dhaka,28.708698,77.205749
North West Delhi,Jahangirpuri,28.725987,77.162683
North West Delhi,Karala,28.73514,77.032511
North West Delhi,Keshav Puram,28.688914,77.161652
North West Delhi,Kingsway Camp,28.698684000000004,77.204675
North West Delhi,Kohat Enclave,28.698014,77.140523
North West Delhi,Model Town,28.702739,77.194006
North West Delhi,Narela,28.85708,77.12346600000001
North West Delhi,Pitam Pura,28.703245000000003,77.132225
North West Delhi,Rani Bagh,28.685982,77.132524
North West Delhi,Rithala,28.720785,77.107155
North West Delhi,Rohini Sub City,28.73732,77.09098
North West Delhi,Shalimar Bagh,28.71302,77.158752
North Delhi,Shakti Nagar,28.678698999999998,77.19516800000001
North Delhi,Bara Hindu Rao,28.661054999999998,77.20671999999999
North Delhi,Chandni Chowk,28.659731,77.234459
North Delhi,Chawri Bazaar,28.649927,77.229788
North Delhi,Civil Lines,28.676857000000002,77.22505699999999
North Delhi,Dariba Kalan,28.654602,77.233379
North Delhi,Ghantewala,28.661054999999998,77.20671999999999
North Delhi,Gulabi Bagh,28.675171999999996,77.189837
North Delhi,Kamla Nagar,28.677891,77.205338
North Delhi,Kashmiri Gate,28.665567,77.228819
North Delhi,Kotwali,28.658597999999998,77.231084
North Delhi,Lahori Gate,28.656840999999996,77.21853399999999
North Delhi,Nehru Vihar,28.710745000000003,77.221174
North Delhi,Paharganj,28.641499,77.214061
North Delhi,Pratap Nagar,28.666687,77.198887
North Delhi,Pul Bangash,28.666376,77.207421
North Delhi,Roshanara Bagh,28.673718,77.19932
North Delhi,Sadar Bazaar,28.577151,77.111153
North Delhi,Sangam Vihar,28.497702,77.239174
North Delhi,Sant Nagar,28.646418,77.091188
North Delhi,Sarai Kale Khan,28.586626000000003,77.25622800000001
North Delhi,Sarai Rohilla,28.667872999999997,77.190267
North Delhi,Shakti Nagar,28.678698999999998,77.19516800000001
North Delhi,Shastri Nagar,28.674831,77.180337
North Delhi,Tees Hazari,28.66667,77.21667
North Delhi,Timarpur,28.700714,77.217323
North Delhi,Wazirabad,28.433761999999998,77.087757
North East Delhi,Babarpur,28.687541999999997,77.280539
North East Delhi,Dilshad Garden,28.686891999999997,77.322121
North East Delhi,Kabir Nagar,28.686327000000002,77.187898
North East Delhi,Mandoli,28.705565999999997,77.316689
North East Delhi,Maujpur,28.689589,77.274074
North East Delhi,Nand Nagri,28.694668,77.30834
North East Delhi,Naveen Shahdara,28.6679,77.2983
North East Delhi,New Usmanpur,28.680458,77.259323
North East Delhi,Sadatpur,28.721622999999997,77.262839
North East Delhi,Shahdara,28.6679,77.2983
North East Delhi,Sonia Vihar,28.718303000000002,77.249445
North East Delhi,Shastri Park,28.63273,77.22001999999999
North East Delhi,Yamuna Vihar,28.699609000000002,77.274474
Central Delhi,Chandni Chowk,28.656076000000002,77.23074
Central Delhi,Daryaganj,28.6443,77.242
Central Delhi,Jhandewalan,28.646946999999997,77.199671
Central Delhi,Karol Bagh,28.6516,77.1886
Central Delhi,Bara Hindu Rao,28.661054999999998,77.20671999999999
Central Delhi,Paharganj,28.642260999999998,77.21552199999999
Central Delhi,Rajender Nagar,28.641949,77.18569000000001
Central Delhi,Sadar Bazaar,28.594433000000002,77.12235
New Delhi,Barakhamba Road,28.629517,77.22547
New Delhi,Chanakyapuri,28.59153,77.17189
New Delhi,Connaught Place,28.6328,77.2198
