,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Adarsh Nagar,28.7142,77.16671,Shalimar bagh club,28.711882012456098,77.15793345551063,Indian Restaurant
1,Adarsh Nagar,28.7142,77.16671,Ever Bake,28.706418633518236,77.16260739997145,Bakery
2,Adarsh Nagar,28.7142,77.16671,Domino's Pizza,28.706,77.163,Pizza Place
3,Adarsh Nagar,28.7142,77.16671,Cafe Coffee Day,28.707933601581548,77.16147766720368,Coffee Shop
4,Adarsh Nagar,28.7142,77.16671,Adarsh Nagar Metro Station,28.716598094266047,77.17043638229369,Light Rail Station
5,Adarsh Nagar,28.7142,77.16671,McDonald's,28.71331172786057,77.15792783860965,Restaurant
6,Adarsh Nagar,28.7142,77.16671,24 SEVEN,28.71353407871715,77.15734929638812,Convenience Store
7,Adarsh Nagar,28.7142,77.16671,Shalimar Bagh Club,28.707350921747665,77.1612810813635,Hotel
8,Ashok Vihar,28.69206,77.17755,Bellagio,28.696361101018056,77.18002105017133,Asian Restaurant
9,Ashok Vihar,28.69206,77.17755,Subway,28.69632063168931,77.17998336484409,Sandwich Place
10,Ashok Vihar,28.69206,77.17755,Domino's Pizza,28.693,77.177,Pizza Place
11,Ashok Vihar,28.69206,77.17755,Sagar Ratna | सागर रतना,28.693381067058812,77.17797666086976,South Indian Restaurant
12,Ashok Vihar,28.69206,77.17755,Subway.,28.695571296469403,77.17196364683056,Sandwich Place
13,Ashok Vihar,28.69206,77.17755,Rahul Egg Corner,28.688240410906264,77.16859947234954,Snack Place
14,Ashok Vihar,28.69206,77.17755,Invitation Restaurant,28.696181557447208,77.17928699622868,Indian Restaurant
15,Ashok Vihar,28.69206,77.17755,Cafe Coffee Day,28.69610288506766,77.17994405382133,Coffee Shop
16,Ashok Vihar,28.69206,77.17755,Giani,28.69269894997536,77.17119421966083,Dessert Shop
17,Ashok Vihar,28.69206,77.17755,J Block Murga Market,28.687143857204767,77.17303504746471,Market
18,Azadpur,28.7053,77.1783,Arjun Pao Bhaji,28.708468173834454,77.18496322631836,Indian Restaurant
19,Azadpur,28.7053,77.1783,Azadpur,28.70866887677249,77.17910167163504,Bus Station
20,Azadpur,28.7053,77.1783,Rameshwar Nagar Park,28.71149154940595,77.18149402143138,Park
